Time,Susceptible,Infected,Recovered
0.0000,0.935200,0.019300,0.045500
0.1000,0.934943,0.019387,0.045670
0.2000,0.934685,0.019474,0.045841
0.3000,0.934426,0.019561,0.046013
0.4000,0.934165,0.019649,0.046186
0.5000,0.933904,0.019737,0.046359
0.6000,0.933641,0.019825,0.046533
0.7000,0.933378,0.019914,0.046708
0.8000,0.933113,0.020003,0.046884
0.9000,0.932847,0.020092,0.047061
1.0000,0.932580,0.020182,0.047238
1.1000,0.932312,0.020272,0.047416
1.2000,0.932043,0.020362,0.047595
1.3000,0.931772,0.020452,0.047775
1.4000,0.931501,0.020543,0.047956
1.5000,0.931228,0.020634,0.048137
1.6000,0.930955,0.020726,0.048319
1.7000,0.930680,0.020818,0.048503
1.8000,0.930404,0.020910,0.048686
1.9000,0.930126,0.021002,0.048871
2.0000,0.929848,0.021095,0.049057
2.1000,0.929569,0.021188,0.049243
2.2000,0.929288,0.021282,0.049430
2.3000,0.929006,0.021375,0.049619
2.4000,0.928723,0.021469,0.049808
2.5000,0.928439,0.021564,0.049997
2.6000,0.928154,0.021658,0.050188
2.7000,0.927867,0.021753,0.050379
2.8000,0.927579,0.021849,0.050572
2.9000,0.927291,0.021944,0.050765
3.0000,0.927001,0.022040,0.050959
3.1000,0.926709,0.022137,0.051154
3.2000,0.926417,0.022233,0.051350
3.3000,0.926123,0.022330,0.051546
3.4000,0.925829,0.022427,0.051744
3.5000,0.925533,0.022525,0.051942
3.6000,0.925235,0.022623,0.052142
3.7000,0.924937,0.022721,0.052342
3.8000,0.924638,0.022820,0.052543
3.9000,0.924337,0.022918,0.052745
4.0000,0.924035,0.023018,0.052948
4.1000,0.923732,0.023117,0.053151
4.2000,0.923427,0.023217,0.053356
4.3000,0.923122,0.023317,0.053561
4.4000,0.922815,0.023418,0.053768
4.5000,0.922507,0.023518,0.053975
4.6000,0.922197,0.023619,0.054183
4.7000,0.921887,0.023721,0.054392
4.8000,0.921575,0.023823,0.054602
4.9000,0.921262,0.023925,0.054813
5.0000,0.920948,0.024027,0.055025
5.1000,0.920632,0.024130,0.055238
5.2000,0.920316,0.024233,0.055452
5.3000,0.919998,0.024336,0.055666
5.4000,0.919678,0.024440,0.055882
5.5000,0.919358,0.024544,0.056098
5.6000,0.919036,0.024648,0.056316
